case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG13_T1b,bpg,BPG13,T1b,10,Hybrid,37.195,5.285988e-13,6.550292e-13,True,43237,False
BPG13_T1b,bpg,BPG13,T1b,10,L-BFGS-B,1.384,5.706788e-06,7.071740e-06,False,3025,False
BPG13_T1b,bpg,BPG13,T1b,10,least_squares,3.828,5.290751e-13,6.556194e-13,True,847,False
BPG13_T2a,bpg,BPG13,T2a,8,CMA-ES,27.331,3.450950e-01,4.276349e-01,False,40780,False
BPG13_T2a,bpg,BPG13,T2a,8,DE,93.868,4.829462e-01,5.984575e-01,False,164214,False
BPG13_T2a,bpg,BPG13,T2a,8,Hybrid,6.203,5.306706e-13,6.575965e-13,True,8761,False
BPG13_T2a,bpg,BPG13,T2a,8,L-BFGS-B,1.712,5.914851e-01,7.329568e-01,False,2556,False
BPG13_T2a,bpg,BPG13,T2a,8,least_squares,37.916,1.964624e-06,2.434523e-06,False,8200,False
BPG13_T2b,bpg,BPG13,T2b,8,CMA-ES,7.194,3.223296e-01,3.994245e-01,False,19120,False
BPG13_T2b,bpg,BPG13,T2b,8,DE,80.724,7.061709e-02,8.750732e-02,False,233514,False
BPG13_T2b,bpg,BPG13,T2b,8,Hybrid,3.174,5.306706e-13,6.575965e-13,True,1,False
BPG13_T2b,bpg,BPG13,T2b,8,L-BFGS-B,0.019,9.205840e-01,1.140770e+00,False,36,False
BPG13_T2b,bpg,BPG13,T2b,8,least_squares,9.288,8.848589e-02,1.096500e-01,False,2375,False
BPG13_T4a,bpg,BPG13,T4a,11,CMA-ES,7.949,7.877492e-11,9.761633e-11,True,25760,False
BPG13_T4a,bpg,BPG13,T4a,11,DE,107.938,6.100978e-08,7.560212e-08,False,330510,False
BPG13_T4a,bpg,BPG13,T4a,11,Hybrid,36.038,5.306471e-13,6.575674e-13,True,46149,False
BPG13_T4a,bpg,BPG13,T4a,11,L-BFGS-B,0.663,4.569481e-03,5.662411e-03,False,2148,False
BPG13_T4a,bpg,BPG13,T4a,11,least_squares,0.523,3.249729e-07,4.027001e-07,False,155,False
BPG13_T4b,bpg,BPG13,T4b,11,CMA-ES,13.252,2.599183e-10,3.220856e-10,False,41860,False
BPG13_T4b,bpg,BPG13,T4b,11,DE,79.964,4.903735e-12,6.076612e-12,True,220616,False
BPG13_T4b,bpg,BPG13,T4b,11,Hybrid,54.729,5.305374e-13,6.574315e-13,True,62927,False
BPG13_T4b,bpg,BPG13,T4b,11,L-BFGS-B,2.267,1.779886e-03,2.205599e-03,False,7392,False
BPG13_T4b,bpg,BPG13,T4b,11,least_squares,45.491,2.100663e-10,2.603100e-10,False,11077,False
BPG14_T0,bpg,BPG14,T0,6,CMA-ES,15.822,9.682748e-03,3.066611e-03,False,60000,False
BPG14_T0,bpg,BPG14,T0,6,DE,18.89,9.590331e-03,3.037342e-03,False,104423,False
BPG14_T0,bpg,BPG14,T0,6,Hybrid,18.012,1.283369e-13,4.064541e-14,True,27270,False
BPG14_T0,bpg,BPG14,T0,6,L-BFGS-B,0.187,3.841882e-02,1.216758e-02,False,1106,False
BPG14_T0,bpg,BPG14,T0,6,least_squares,4.932,4.306659e-04,1.363957e-04,False,2778,False
BPG14_T1a,bpg,BPG14,T1a,9,CMA-ES,21.051,1.111064e-04,3.518838e-05,False,48100,False
BPG14_T1a,bpg,BPG14,T1a,9,DE,90.447,7.858612e-05,2.488891e-05,False,271200,False
BPG14_T1a,bpg,BPG14,T1a,9,Hybrid,18.016,1.281346e-13,4.058136e-14,True,23630,False
BPG14_T1a,bpg,BPG14,T1a,9,L-BFGS-B,1.228,4.823901e-05,1.527772e-05,False,5280,False
BPG14_T1a,bpg,BPG14,T1a,9,least_squares,36.046,1.871830e-04,5.928249e-05,False,9004,False
BPG14_T1b,bpg,BPG14,T1b,9,CMA-ES,13.976,5.257333e-05,1.665043e-05,False,41200,False
BPG14_T1b,bpg,BPG14,T1b,9,DE,95.526,7.717253e-05,2.444122e-05,False,271040,False
BPG14_T1b,bpg,BPG14,T1b,9,Hybrid,18.008,1.279429e-13,4.052063e-14,True,28715,False
BPG14_T1b,bpg,BPG14,T1b,9,L-BFGS-B,1.144,1.858880e-02,5.887235e-03,False,4360,False
BPG14_T1b,bpg,BPG14,T1b,9,least_squares,46.679,1.030633e-04,3.264105e-05,False,10083,False
BPG14_T2a,bpg,BPG14,T2a,7,CMA-ES,11.614,1.419175e+00,4.494651e-01,False,18360,False
BPG14_T2a,bpg,BPG14,T2a,7,DE,72.352,7.880335e-01,2.495771e-01,False,118318,False
BPG14_T2a,bpg,BPG14,T2a,7,Hybrid,4.458,1.283369e-13,4.064541e-14,True,5261,False
