case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG3_T1a,bpg,BPG3,T1a,8,DE,38.829,2.541794e-16,4.196032e-14,True,80089,False
BPG3_T1a,bpg,BPG3,T1a,8,Hybrid,18.452,6.562109e-18,1.083283e-15,True,20440,False
BPG3_T1a,bpg,BPG3,T1a,8,L-BFGS-B,0.978,4.941076e-10,8.156803e-08,False,1143,False
BPG3_T1a,bpg,BPG3,T1a,8,least_squares,2.125,3.926418e-14,6.481790e-12,True,565,False
BPG3_T1b,bpg,BPG3,T1b,8,CMA-ES,3.446,5.882752e-13,9.711336e-11,True,7080,False
BPG3_T1b,bpg,BPG3,T1b,8,DE,27.417,4.811072e-16,7.942190e-14,True,80089,False
BPG3_T1b,bpg,BPG3,T1b,8,Hybrid,18.009,6.561128e-18,1.083121e-15,True,24362,False
BPG3_T1b,bpg,BPG3,T1b,8,L-BFGS-B,0.821,8.907289e-09,1.470429e-06,False,1755,False
BPG3_T1b,bpg,BPG3,T1b,8,least_squares,26.698,1.594943e-17,2.632956e-15,True,8000,False
BPG4_T1a,bpg,BPG4,T1a,9,CMA-ES,3.202,5.311426e-10,7.624336e-11,True,9860,False
BPG4_T1a,bpg,BPG4,T1a,9,DE,28.86,1.092439e-11,1.568152e-12,True,90200,False
BPG4_T1a,bpg,BPG4,T1a,9,Hybrid,8.497,3.622649e-13,5.200164e-14,True,14211,False
BPG4_T1a,bpg,BPG4,T1a,9,L-BFGS-B,1.101,6.825989e-05,9.798429e-06,False,1460,False
BPG4_T1a,bpg,BPG4,T1a,9,least_squares,2.208,3.622872e-13,5.200485e-14,True,674,False
BPG4_T1b,bpg,BPG4,T1b,9,CMA-ES,1.705,3.959631e-10,5.683889e-11,True,4780,False
BPG4_T1b,bpg,BPG4,T1b,9,DE,32.911,3.621428e-13,5.198412e-14,True,90280,False
BPG4_T1b,bpg,BPG4,T1b,9,Hybrid,14.31,3.616071e-13,5.190723e-14,True,18933,False
BPG4_T1b,bpg,BPG4,T1b,9,L-BFGS-B,0.823,4.032022e-04,5.787803e-05,False,2390,False
